T_K,rho_mol_m3,P_Pa,Z_PR
304.128200,14705.882353,8.614543426803e6,0.231659599272
304.128200,14823.529412,8.703840564795e6,0.232203323306
304.128200,14941.176471,8.797578099904e6,0.232856014054
304.128200,15058.823529,8.895890431061e6,0.233618647115
304.128200,15176.470588,8.998914454123e6,0.234492232901
304.128200,15294.117647,9.106789639623e6,0.235477817307
304.128200,15411.764706,9.219658112789e6,0.236576482415
304.128200,15529.411765,9.337664735916e6,0.237789347215
304.128200,15647.058824,9.460957193199e6,0.239117568365
304.128200,15764.705882,9.589686078110e6,0.240562340978
304.128200,15882.352941,9.724004983441e6,0.242124899437
304.128200,16000.000000,9.864070594098e6,0.243806518247
304.253200,2000.000000,3.908746210171e6,0.772570530023
304.253200,2117.647059,4.076668672158e6,0.760996215301
304.253200,2235.294118,4.238709914229e6,0.749600177498
304.253200,2352.941176,4.395011258519e6,0.738379417759
304.253200,2470.588235,4.545710999360e6,0.727331023978
304.253200,2588.235294,4.690944514915e6,0.716452168136
304.253200,2705.882353,4.830844374775e6,0.705740103735
304.253200,2823.529412,4.965540443712e6,0.695192163345
304.253200,2941.176471,5.095159981761e6,0.684805756241
304.253200,3058.823529,5.219827740813e6,0.674578366130
304.253200,3176.470588,5.339666057857e6,0.664507548978
304.253200,3294.117647,5.454794945054e6,0.654590930913
304.253200,3411.764706,5.565332176766e6,0.644826206209
304.253200,3529.411765,5.671393373688e6,0.635211135357
304.253200,3647.058824,5.773092084216e6,0.625743543197
304.253200,3764.705882,5.870539863175e6,0.616421317138
304.253200,3882.352941,5.963846348029e6,0.607242405431
304.253200,4000.000000,6.053119332687e6,0.598204815521
304.253200,4117.647059,6.138464839011e6,0.589306612449
304.253200,4235.294118,6.219987186139e6,0.580545917332
304.253200,4352.941176,6.297789057718e6,0.571920905880
304.253200,4470.588235,6.371971567134e6,0.563429806992
304.253200,4588.235294,6.442634320850e6,0.555070901382
304.253200,4705.882353,6.509875479921e6,0.546842520281
304.253200,4823.529412,6.573791819773e6,0.538743044167
304.253200,4941.176471,6.634478788341e6,0.530770901556
304.253200,5058.823529,6.692030562618e6,0.522924567837
304.253200,5176.470588,6.746540103710e6,0.515202564148
304.253200,5294.117647,6.798099210452e6,0.507603456295
304.253200,5411.764706,6.846798571666e6,0.500125853717
